playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1212581632,A. Sechopoulos,Ari Sechopoulos,Sechopoulos,1B,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,S,.314,272,.247,14,1,7,.407,.327,17.3%,9.2%,47,25,50.5%,22.6%,24.9%
1212593152,L. Stageberg,Luke Stageberg,Stageberg,2B,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,S,.309,136,.233,6,0,2,.336,.346,12.5%,11.8%,17,16,43.0%,13.4%,16.9%
1240246528,J. Kirven,Jared Kirven,Kirven,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.300,213,.268,11,0,3,.371,.314,14.6%,3.8%,31,8,55.4%,20.5%,35.8%
1267539456,H. Hawkins,Harrison Hawkins,Hawkins,DH,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.326,330,.276,14,1,9,.419,.335,18.5%,6.1%,61,20,49.0%,21.7%,20.1%
1302942208,C. Graham,Chris Graham,Graham,CF,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.317,127,.306,4,0,1,.369,.363,11.8%,7.1%,15,9,48.7%,15.9%,14.5%
1319124736,M. Sears,Mclendon Sears,Sears,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.259,52,.205,3,0,0,.273,.294,34.6%,7.7%,18,4,54.5%,40.8%,29.7%
1240246272,T. Mccallister,Tanner Mccallister,Mccallister,RF,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.287,150,.228,9,0,4,.382,.282,36.0%,5.3%,54,8,49.3%,35.1%,31.3%
1240245760,C. Holfert,Cross Holfert,Holfert,DH,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.288,64,.241,3,0,1,.345,.313,29.7%,7.8%,19,5,48.5%,27.9%,17.5%
1301847040,C. Hunt,Clay Hunt,Hunt,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.295,127,.225,7,0,3,.369,.310,26.8%,8.7%,34,11,52.3%,40.1%,18.5%
1302361088,C. Davey,Chaz Davey,Davey,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,R,.318,203,.273,8,1,6,.422,.325,17.7%,6.4%,36,13,51.1%,26.0%,19.6%
